Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
,,1:03,Player Movement > Sub In > Away Player > Jaylin Holcomb,,,
BYU,1,0:51,13 Paisley Johnson > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,11,-,19
,,0:51,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:47,Misc Stat > Defensive Rebound > Diana Saleh,,,
LU,1,0:45,23 Jaylin Holcomb > Transition > Ballhandler > Turnover,11,-,19
,,0:45,Misc Stat > Steal > Tegan Graham,,,
,,0:45,Turnover > Any Type > Jaylin Holcomb,,,
BYU,1,0:35,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,11,-,22
,,0:35,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,0:35,Misc Stat > Assist > Kaylee Smiler,,,
LU,1,0:15,15 Blythe Pearson > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Make 2 Pts,13,-,22
,,0:15,Shot > Blythe Pearson > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,0:04,13 Paisley Johnson > No Play Type > To Basket > Miss 2 Pts,13,-,22
,,0:04,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:04,Misc Stat > Block > Jaylin Holcomb,,,
LU,1,0:00,22 Maddie Cook > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,13,-,22
,,0:00,Misc Stat > Team Defensive Rebound > Away,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
LU,2,9:47,33 Diana Saleh > Post-Up > Flash Middle > Right Shoulder > No Dribble Move > To Basket > Foul,13,-,22
,,9:47,Personal Foul > Defensive - Any > Tegan Graham,,,
LU,2,9:47,33 Diana Saleh > Non Possession > Free Throw,13,-,22
,,9:47,Shot > Diana Saleh > Free Throw > Missed,,,
,,9:47,Misc Stat > Team Offensive Rebound > Away,,,
,,9:47,Player Movement > Sub Out > Away Player > Diana Saleh,,,
LU,2,9:47,33 Diana Saleh > Non Possession > Free Throw,14,-,22
,,9:47,Shot > Diana Saleh > Free Throw > Made,,,
BYU,2,9:30,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits,14,-,24
,,,Ball Delivered,,,
,,,5 Maria Albiero > Cut > Flash > Make 2 Pts,,,
,,9:30,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:47,Player Movement > Sub In > Away Player > Jordan Peete,,,
,,9:30,Misc Stat > Assist > Lauren Gustin,,,
LU,2,9:10,22 Maddie Cook > Hand Off > From Dribble > Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,14,-,24
,,9:10,Shot > Maddie Cook > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:06,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,9:00,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,14,-,24
,,9:00,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:53,Misc Stat > Defensive Rebound > Maddie Cook,,,
LU,2,8:46,1 Jordan Peete > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits,14,-,24
,,,Ball Delivered,,,
,,,23 Jaylin Holcomb > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,8:46,Shot > Jaylin Holcomb > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:42,Misc Stat > Defensive Rebound > Kaylee Smiler,,,
BYU,2,8:25,10 Tegan Graham > Spot-Up > Drives Left > To Basket > Miss 2 Pts,14,-,24
,,8:25,Shot > Tegan Graham > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:25,Misc Stat > Block > Maddie Cook,,,
,,8:25,Misc Stat > Team Offensive Rebound > Home,,,
BYU,2,8:25,25 Emma Calvert > Cut > Screen > Miss 2 Pts,14,-,24
,,8:25,Shot > Emma Calvert > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:25,Misc Stat > Team Offensive Rebound > Home,,,
,,8:25,Misc Stat > Block > Blythe Pearson,,,
BYU,2,8:11,13 Paisley Johnson > ISO > Left > Drives Right > Defense Commits,14,-,24
,,,Ball Delivered,,,
