Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
MTS,2,9:53,0 Darian White > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,22,-,18
,,9:53,Shot > Darian White > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,9:26,13 Paisley Harding > Hand Off > From Stationary > Right > Turnover,22,-,18
,,9:26,Misc Stat > Steal > Taylor Janssen,,,
,,9:26,Turnover > Any Type > Paisley Harding,,,
MTS,2,9:09,24 Taylor Janssen > Cut > Flash > Turnover,22,-,18
,,9:09,Turnover > Any Type > Taylor Janssen,,,
BYU,2,8:59,2 Shaylee Gonzales > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,22,-,18
,,8:59,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,8:54,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,22,-,18
,,8:54,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,2,8:50,2 Shaylee Gonzales > Cut > Flash > Miss 2 Pts,22,-,18
,,8:50,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:45,Misc Stat > Defensive Rebound > Ashley Van Sickle,,,
MTS,2,8:40,3 Ashley Van Sickle > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,22,-,21
,,,Ball Delivered,,,
,,,10 Kola Bad Bear > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,8:40,Shot > Kola Bad Bear > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:40,Misc Stat > Assist > Ashley Van Sickle,,,
BYU,2,8:19,5 Maria Albiero > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,25,-,21
,,8:19,Shot > Maria Albiero > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:19,Misc Stat > Assist > Lauren Gustin,,,
MTS,2,8:03,0 Darian White > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,25,-,21
,,8:03,Shot > Darian White > Any Type > 2 Point Attempt > Miss 2 Pts,,,
MTS,2,8:00,3 Ashley Van Sickle > Offensive Rebound > Long > Scoring Attempt > At Basket > Miss 2 Pts,25,-,21
,,8:00,Misc Stat > Offensive Rebound > Ashley Van Sickle,,,
BYU,2,7:48,2 Shaylee Gonzales > Cut > Flash > Make 2 Pts,27,-,21
,,7:48,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:44,Time Event > Full Time Out > Home Team,,,
,,7:48,Misc Stat > Assist > Tegan Graham,,,
MTS,2,7:31,15 Leia Beattie > Off Screen > To Shooter's Left > Straight > To Basket > Miss 2 Pts,27,-,21
,,7:31,Shot > Leia Beattie > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:28,Misc Stat > Defensive Rebound > Paisley Harding,,,
BYU,2,7:25,13 Paisley Harding > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,27,-,21
,,7:25,Shot > Paisley Harding > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:21,Misc Stat > Defensive Rebound > Kola Bad Bear,,,
MTS,2,7:00,15 Leia Beattie > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,27,-,21
,,7:00,Shot > Leia Beattie > Any Type > 3 Point Attempt > Miss 3 Pts,,,
MTS,2,6:55,0 Darian White > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Miss 2 Pts,27,-,21
,,6:55,Shot > Darian White > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:55,Misc Stat > Offensive Rebound > Darian White,,,
BYU,2,6:39,12 Lauren Gustin > Cut > Screen > Make 2 Pts,29,-,21
,,6:39,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:39,Misc Stat > Assist > Paisley Harding,,,
MTS,2,6:09,3 Ashley Van Sickle > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,29,-,21
