Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
,,9:12,Player Movement > Sub Out > Away Player > Jessica Peterson,,,
,,9:12,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,9:12,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,8:56,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,2,8:37,22 Sara Hamson > Post-Up > Left Block > Defense Commits > Turnover,16,-,21
,,8:37,Misc Stat > Steal > Haley Cavinder,,,
,,8:37,Turnover > Any Type > Sara Hamson,,,
FS,2,8:32,13 Amiee Book > Transition > Right Wing > To Basket > Make 2 Pts,18,-,21
,,8:32,Shot > Amiee Book > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:32,Misc Stat > Assist > Haley Cavinder,,,
BYU,2,8:12,2 Shaylee Gonzales > Cut > Flash > Make 2 Pts,18,-,23
,,8:12,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:12,Misc Stat > Assist > Paisley Johnson,,,
FS,2,7:54,24 Wytalla Motta > Spot-Up > Drives Right > To Basket > Foul,18,-,23
,,7:54,Time Event > Full Time Out > Away Team,,,
,,7:54,Personal Foul > Defensive - Any > Paisley Johnson,,,
FS,2,7:54,24 Wytalla Motta > Non Possession > Free Throw,19,-,23
,,7:54,Shot > Wytalla Motta > Free Throw > Made,,,
,,7:54,Player Movement > Sub In > Away Player > Tamia Stricklin,,,
,,7:54,Player Movement > Sub Out > Away Player > Hanna Cavinder,,,
FS,2,7:54,24 Wytalla Motta > Non Possession > Free Throw,19,-,23
,,7:54,Shot > Wytalla Motta > Free Throw > Missed,,,
,,7:54,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,2,7:43,5 Maria Albiero > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits,19,-,25
,,,Ball Delivered,,,
,,,22 Sara Hamson > P&R Roll Man > Rolls to Basket > Make 2 Pts,,,
