Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,ASU - BYU,,
,,2:33,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,2:33,Player Movement > Sub In > Away Player > Imogen Greenslade,,,
,,2:33,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,2:33,Player Movement > Sub Out > Away Player > Maggie Besselink,,,
,,2:28,Turnover > Any Type > Sara Hamson,,,
,,2:28,Personal Foul > Defensive - Any > Sara Hamson,,,
ASU,1,2:12,3 Gabriela Bosquez > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts,8,-,12
,,2:12,Shot > Gabriela Bosquez > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:12,Misc Stat > Assist > Mael Gilles,,,
BYU,1,1:46,12 Lauren Gustin > Cut > Flash > Miss 2 Pts,8,-,12
,,1:46,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:46,Misc Stat > Team Defensive Rebound > Away,,,
ASU,1,1:22,2 Jaddan Simmons > ISO > Top > Drives Left > To Basket > Miss 2 Pts,8,-,12
,,1:22,Shot > Jaddan Simmons > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:22,Misc Stat > Defensive Rebound > Paisley Johnson,,,
,,1:22,Misc Stat > Block > Sara Hamson,,,
BYU,1,1:15,13 Paisley Johnson > Non Possession > Non Shooting Foul,8,-,12
,,1:15,Personal Foul > Defensive - Any > Jade Loville,,,
BYU,1,0:58,13 Paisley Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts,8,-,14
,,0:58,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,1:15,Player Movement > Sub Out > Away Player > Jaddan Simmons,,,
,,1:15,Player Movement > Sub In > Away Player > Gabriela Bosquez,,,
ASU,1,0:36,0 Taya Hanson > ISO > Right > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,8,-,14
,,0:36,Shot > Taya Hanson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:36,Misc Stat > Defensive Rebound > Kaylee Smiler,,,
BYU,1,0:09,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Turnover,8,-,14
,,0:09,Turnover > Any Type > Shaylee Gonzales,,,
,,0:09,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
ASU,1,0:02,2 Jaddan Simmons > Transition > Ballhandler > To Basket > Make 2 Pts,10,-,14
,,0:02,Shot > Jaddan Simmons > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,0:09,Player Movement > Sub Out > Away Player > Gabriela Bosquez,,,
,,0:09,Player Movement > Sub In > Home Player > Nani Falatea,,,
,,0:09,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,0:09,Player Movement > Sub In > Away Player > Jaddan Simmons,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,ASU - BYU,,
ASU,2,10:00,12 Mael Gilles > Cut > Flash > Turnover,10,-,14
,,10:00,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,10:00,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,10:00,Player Movement > Sub In > Away Player > Sydney Erikstrup,,,
,,10:00,Player Movement > Sub Out > Away Player > Jade Loville,,,
,,9:46,Misc Stat > Steal > Paisley Johnson,,,
,,9:46,Turnover > Any Type > Mael Gilles,,,
BYU,2,9:28,22 Sara Hamson > Post-Up > Right Block > Right Shoulder > Dribble Move > To Hook > Miss 2 Pts,10,-,14
,,9:28,Shot > Sara Hamson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:28,Misc Stat > Defensive Rebound > Taya Hanson,,,
ASU,2,9:06,2 Jaddan Simmons > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,12,-,14
,,,Ball Delivered,,,
,,,12 Mael Gilles > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Make 2 Pts,,,
,,9:06,Shot > Mael Gilles > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,8:45,13 Paisley Johnson > Non Possession > Non Shooting Foul,12,-,14
,,8:45,Personal Foul > Defensive - Any > Sydney Erikstrup,,,
BYU,2,8:36,11 Kaylee Smiler > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,12,-,14
,,8:36,Shot > Kaylee Smiler > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:45,Player Movement > Sub Out > Away Player > Sydney Erikstrup,,,
,,8:45,Player Movement > Sub In > Away Player > Katelyn Levings,,,
,,8:45,Player Movement > Sub In > Away Player > Gabriela Bosquez,,,
,,8:45,Player Movement > Sub Out > Away Player > Imogen Greenslade,,,
,,8:36,Misc Stat > Defensive Rebound > Mael Gilles,,,
ASU,2,8:23,20 Katelyn Levings > Post-Up > Right Block > Face-up > Drive Middle > Miss 2 Pts,12,-,14
,,8:23,Shot > Katelyn Levings > Any Type > 2 Point Attempt > Miss 2 Pts,,,
ASU,2,8:23,2 Jaddan Simmons > Offensive Rebound > Long > Run Offense,12,-,14
,,8:23,Misc Stat > Offensive Rebound > Jaddan Simmons,,,
ASU,2,8:14,0 Taya Hanson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,12,-,14
,,8:14,Shot > Taya Hanson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:14,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,8:11,2 Shaylee Gonzales > No Play Type > Turnover,12,-,14
,,8:11,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,8:11,Turnover > Any Type > Shaylee Gonzales,,,
,,8:11,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,8:11,Player Movement > Sub In > Away Player > Jade Loville,,,
,,8:11,Player Movement > Sub Out > Home Player > Kaylee Smiler,,,
,,8:11,Player Movement > Sub Out > Away Player > Taya Hanson,,,
,,8:11,Player Movement > Sub In > Home Player > Lauren Gustin,,,
ASU,2,7:59,3 Gabriela Bosquez > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,12,-,14
,,7:59,Shot > Gabriela Bosquez > Any Type > 3 Point Attempt > Miss 3 Pts,,,
ASU,2,7:59,20 Katelyn Levings > Offensive Rebound > Short > Run Offense,12,-,14
,,7:59,Misc Stat > Offensive Rebound > Katelyn Levings,,,
ASU,2,7:52,30 Jade Loville > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,14,-,14
,,7:52,Shot > Jade Loville > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:52,Misc Stat > Assist > Gabriela Bosquez,,,
BYU,2,7:29,13 Paisley Johnson > Cut > Flash > Miss 2 Pts,14,-,14
,,7:29,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:29,Misc Stat > Defensive Rebound > Gabriela Bosquez,,,
ASU,2,7:19,2 Jaddan Simmons > Transition > Ballhandler > To Basket > Miss 2 Pts,14,-,14
,,7:19,Shot > Jaddan Simmons > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:19,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,2,7:12,12 Lauren Gustin > Transition > First Middle > To Basket > Miss 2 Pts,14,-,14
,,7:12,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,7:07,2 Shaylee Gonzales > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,14,-,14
,,7:07,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,7:07,12 Lauren Gustin > Offensive Rebound > Long > Run Offense,14,-,14
,,7:07,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,2,7:02,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,14,-,14
,,7:02,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:02,Misc Stat > Defensive Rebound > Gabriela Bosquez,,,
ASU,2,6:41,20 Katelyn Levings > Cut > Basket > Miss 2 Pts,14,-,14
,,6:41,Shot > Katelyn Levings > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:46,Player Movement > Sub Out > Away Player > Mael Gilles,,,
,,6:46,Player Movement > Sub Out > Away Player > Gabriela Bosquez,,,
,,6:46,Player Movement > Sub In > Home Player > Arielle Mackeywilliams,,,
,,6:46,Player Movement > Sub In > Away Player > Sydney Erikstrup,,,
,,6:46,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,6:46,Player Movement > Sub In > Away Player > Taya Hanson,,,
,,6:41,Misc Stat > Block > Lauren Gustin,,,
ASU,2,6:35,20 Katelyn Levings > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,14,-,14
,,6:35,Shot > Katelyn Levings > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:41,Misc Stat > Offensive Rebound > Katelyn Levings,,,
,,6:35,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,6:02,10 Tegan Graham > Cut > Flash > Miss 2 Pts,14,-,14
,,6:02,Shot > Tegan Graham > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,5:58,12 Lauren Gustin > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,14,-,16
,,5:58,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:02,Misc Stat > Offensive Rebound > Lauren Gustin,,,
ASU,2,5:58,2 Jaddan Simmons > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,14,-,16
,,,Ball Delivered,,,
,,,11 Sydney Erikstrup > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,5:58,Shot > Sydney Erikstrup > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:51,Player Movement > Sub In > Away Player > Imogen Greenslade,,,
,,5:51,Player Movement > Sub In > Away Player > Gabriela Bosquez,,,
,,5:51,Player Movement > Sub Out > Away Player > Katelyn Levings,,,
,,5:51,Player Movement > Sub Out > Away Player > Jaddan Simmons,,,
,,5:51,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,5:30,13 Paisley Johnson > Cut > Screen > Foul,14,-,16
,,5:30,Personal Foul > Defensive - Any > Taya Hanson,,,
BYU,2,5:30,13 Paisley Johnson > Non Possession > Free Throw,14,-,17
,,5:30,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,2,5:30,13 Paisley Johnson > Non Possession > Free Throw,14,-,18
,,5:30,Shot > Paisley Johnson > Free Throw > Made,,,
ASU,2,5:21,43 Imogen Greenslade > Non Possession > Non Shooting Foul,14,-,18
,,5:21,Personal Foul > Defensive - Any > Lauren Gustin,,,
ASU,2,5:01,43 Imogen Greenslade > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts,16,-,18
,,5:01,Shot > Imogen Greenslade > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:01,Misc Stat > Assist > Gabriela Bosquez,,,
BYU,2,4:44,3 Nani Falatea > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,16,-,18
,,4:44,Shot > Nani Falatea > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:44,Misc Stat > Defensive Rebound > Taya Hanson,,,
ASU,2,4:33,0 Taya Hanson > Transition > Ballhandler > Turnover,16,-,18
