Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
,,7:59,Misc Stat > Defensive Rebound > Mariana Valenzuela,,,
FSU,2,7:54,24 Morgan Jones > Transition > Right Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts,16,-,20
,,7:54,Shot > Morgan Jones > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:52,Misc Stat > Defensive Rebound > Paisley Johnson,,,
,,7:52,Personal Foul > Defensive - Any > Kourtney Weber,,,
BYU,2,7:39,13 Paisley Johnson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,16,-,20
,,7:39,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:52,Player Movement > Sub Out > Away Player > Mariana Valenzuela,,,
,,7:52,Player Movement > Sub In > Away Player > Makayla Timpson,,,
,,7:52,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,7:52,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,7:36,Misc Stat > Defensive Rebound > Valencia Myers,,,
FSU,2,7:24,32 Valencia Myers > Post-Up > Flash Middle > Right Shoulder > No Dribble Move > To Basket > Foul,16,-,20
,,7:24,Personal Foul > Defensive - Any > Nani Falatea,,,
FSU,2,7:24,32 Valencia Myers > Non Possession > Free Throw,17,-,20
,,7:24,Shot > Valencia Myers > Free Throw > Made,,,
FSU,2,7:24,32 Valencia Myers > Non Possession > Free Throw,18,-,20
,,7:24,Shot > Valencia Myers > Free Throw > Made,,,
BYU,2,7:07,13 Paisley Johnson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,18,-,20
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Cut > Basket > Miss 2 Pts,,,
,,7:07,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,7:04,13 Paisley Johnson > Offensive Rebound > Long > Run Offense,18,-,20
,,7:04,Misc Stat > Offensive Rebound > Paisley Johnson,,,
BYU,2,7:03,25 Emma Calvert > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,18,-,23
,,7:03,Shot > Emma Calvert > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,7:03,Misc Stat > Assist > Paisley Johnson,,,
FSU,2,6:37,24 Morgan Jones > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits,18,-,23
,,,Ball Delivered,,,
,,,10 Kourtney Weber > Spot-Up > Drives Right > Turnover,,,
,,6:37,Turnover > Any Type > Kourtney Weber,,,
,,6:37,Misc Stat > Steal > Shaylee Gonzales,,,
BYU,2,6:30,2 Shaylee Gonzales > Hand Off > From Stationary > Left > To Basket > Foul,18,-,24
,,6:30,Personal Foul > Defensive - Any > Valencia Myers,,,
BYU,2,6:30,2 Shaylee Gonzales > Non Possession > Free Throw,18,-,24
,,6:30,Shot > Shaylee Gonzales > Free Throw > Made,,,
BYU,2,6:30,2 Shaylee Gonzales > Non Possession > Free Throw,18,-,25
,,6:30,Shot > Shaylee Gonzales > Free Throw > Made,,,
,,6:33,Player Movement > Sub Out > Away Player > Makayla Timpson,,,
,,6:33,Player Movement > Sub In > Away Player > River Baldwin,,,
,,6:30,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,6:30,Player Movement > Sub Out > Home Player > Emma Calvert,,,
FSU,2,6:12,11 O’Mariah Gordon > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,18,-,25
