"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"197","JAYLA JOHNSON","F","The University of North Carolina at Greensboro","03/15/2022",3.74758701039331,0.58,30,22.6,12.7,4.1,0.7,0.9,0.5,2.9,37.1,71.3,27,677,135,364,92,129,20,74,382,40,82,122,21,86,27,14
"198","RYLIE STEPHENS","G","University of Evansville","03/14/2022",3.74470325231617,0.58,14,5.1,1.3,0.7,0.1,0.1,0.4,0.3,25,83.3,11.1,71,6,24,5,6,1,9,18,3,7,10,2,4,2,5
"199","BRAYLYN DOLLAR","F","Sam Houston State University","03/23/2022",3.73877706141043,0.58,23,6.3,1.3,1.7,0.2,0.3,0.1,0.6,34.4,83.3,50,144,11,32,5,6,2,4,29,9,30,39,5,14,6,3
"200","NATALIE BARTLE","G","University of Nebraska Omaha","03/07/2022",3.73270551451571,0.58,19,16.3,6.4,3,0.5,1.2,0.1,1.1,35,84.2,20.8,309,42,120,32,38,5,24,121,8,49,57,9,20,22,1
"201","RANDRIA ANDERSON","G","Campbell University","03/25/2022",3.73061558821105,0.58,10,5.6,2.3,0.7,0.7,0.2,0.1,0.7,37.5,80,9.1,56,9,24,4,5,1,11,23,1,6,7,7,7,2,1
"202","OLIVIA SKIBIEL","G","North Dakota State University","03/28/2022",3.72876440112322,0.58,28,18.8,4.6,3,0.6,0.5,0,1,31.5,93.3,26,526,45,143,14,15,25,96,129,16,67,83,18,29,13,1
"203","JANAE GONZALES","G","Loyola University Chicago","03/14/2022",3.72325336702358,0.58,30,12.5,3.9,1.7,0.2,0.2,0,0.8,33.6,71.4,33,374,38,113,10,14,32,97,118,1,49,50,6,24,7,1
"204","DENISE SOLIS","F","University of Massachusetts Lowell","03/21/2022",3.71947349201938,0.58,26,24.8,9.2,4.5,1.2,0.8,0.6,2.5,50,65.1,0,646,91,182,56,86,0,0,238,48,68,116,30,64,21,15
"205","KRISTINA DONZA","G","U.S. Naval Academy","03/25/2022",3.71610704636121,0.58,29,20.3,3.8,1.9,0.6,0.3,0.2,0.6,31.3,66.7,26.1,590,41,131,6,9,23,88,111,19,36,55,18,17,9,6
"206","JADA WRIGHT","C","Wright State University","03/16/2022",3.64697125789766,0.57,21,20.4,7,8.1,0.7,1,2.2,1.8,37.8,68.4,50,429,59,156,26,38,4,8,148,47,124,171,15,37,20,47
"207","SHALEXXUS AARON","G","Texas Southern University","03/15/2022",3.63972225947843,0.57,16,29.3,12,4.3,2.1,0.8,0.4,2.8,37.2,85.7,32.3,469,68,183,24,28,32,99,192,19,49,68,34,45,13,6
"208","CLAIRE GALLAGHER","G","Lafayette College","03/09/2022",3.61636575337027,0.56,25,23.5,6.8,2.9,0.8,0.3,0.1,1.5,37.9,78.6,36.5,588,61,161,11,14,38,104,171,10,62,72,20,37,8,2
"209","JAZMYN GAINES-BURNS","G","Morehead State University","03/02/2022",3.61527547740231,0.56,22,14.3,0.6,1.7,0.4,0.1,0.2,0.5,15.2,50,5.9,314,5,33,3,6,1,17,14,28,10,38,8,11,3,5
"210","JALA JORDAN","F","Auburn University","03/04/2022",3.6100441608707,0.56,28,16.4,6.4,3.9,0.5,0.3,0.9,1.4,38.5,57.9,32.1,459,70,182,22,38,18,56,180,28,80,108,13,38,8,25
