"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"520","SANIAA WILSON","F","University at Buffalo, the State University of New York","03/29/2022",0.380264162237149,0.09,14,10.9,3.6,4.4,0.2,0,0.3,0.7,55.9,54.5,0,152,19,34,12,22,0,0,50,21,40,61,3,10,0,4
"521","MORGAN BROWNING","G","Morehead State University","03/24/2022",0.360266866958341,0.09,28,24.5,3.3,2.1,1,0.4,0.2,1.5,29.8,62.9,32,686,31,104,22,35,8,25,92,21,38,59,29,42,12,6
"522","AMAYA ADAMS","G","East Tennessee State University","03/22/2022",0.354437116265284,0.09,27,21.5,4.7,3.1,0.7,0.7,0.1,1.6,43.8,52.8,30.8,580,46,105,28,53,8,26,128,17,67,84,19,44,20,2
"523","LAUREN GUNN","G","Valparaiso University","03/29/2022",0.351581588921666,0.09,20,9.6,1.8,1.3,0.4,0.2,0,1,46.7,46.7,12.5,192,14,30,7,15,1,8,36,3,23,26,8,19,4,0
"524","FARRAH PEARSON","F","Alabama State University","03/22/2022",0.34956415964856,0.09,26,18.9,4.3,3.2,1,0.5,0.2,1.9,33.1,68.3,22.2,492,39,118,28,41,6,27,112,23,61,84,25,50,14,5
"525","HANNAH WHITE","G","Alabama State University","03/23/2022",0.349199030211575,0.09,29,15.9,3,1.8,1.4,0.4,0.1,1.7,33.7,73.3,21.7,462,30,89,22,30,5,23,87,12,40,52,42,48,13,2
"526","MAKENNA WINANS","F","Charleston Southern University","03/04/2022",0.340723905302574,0.09,28,10.4,1.8,2.1,0.3,0.3,0.3,0.9,30.2,54.5,7.7,291,16,53,18,33,1,13,51,17,41,58,8,26,9,7
"527","CHARIA ROBERTS","F","Loyola University Maryland","03/25/2022",0.331730275524446,0.09,29,25.4,6.7,4,0.6,0.6,0.1,2.3,42.8,70.7,0,736,77,180,41,58,0,1,195,42,75,117,18,67,17,4
"528","FAITH BLACKSTONE","G","North Carolina A&T State University","03/14/2022",0.326966580581212,0.09,22,17.9,5,1.5,1.2,1,0.3,1.9,33.3,76.3,24.2,393,36,108,29,38,8,33,109,14,18,32,27,42,22,6
"529","DAIJA POWELL","F","Bradley University","03/30/2022",0.292091169479911,0.09,21,14.3,4.7,3.3,0.6,0.2,0.2,1.1,39.1,44.4,0,300,43,110,12,27,0,0,98,18,52,70,12,24,4,4
"530","TYLER GRAY","G","College of Charleston (South Carolina)","03/01/2022",0.258587297750875,0.08,11,5.2,0.9,0.6,0.3,0.4,0,0.5,21.4,40,0,57,3,14,4,10,0,3,10,4,3,7,3,6,4,0
"531","CLAIRA MCGOWAN","G","Murray State University","03/18/2022",0.250877877958008,0.08,23,8.9,1.7,1,0.6,0.2,0,0.7,27.1,58.3,0,204,13,48,14,24,0,18,40,7,15,22,13,15,4,0
"532","FAITH PARAMORE","F","Oral Roberts University","03/10/2022",0.248246196699165,0.08,27,13.8,3,2.4,0.7,0.1,0.2,1.1,31.9,65,18.6,372,30,94,13,20,8,43,81,20,46,66,20,29,3,6
"533","MALIYAH LOCKETT","G","University of North Carolina Asheville","03/17/2022",0.245777188447998,0.08,31,11.6,1.9,1.4,0.5,0.2,0,0.7,39.4,42.9,0,360,26,66,6,14,0,5,58,11,32,43,16,23,7,1
"534","KELSIE WILLIAMS","F","Southern Illinois University Edwardsville","03/17/2022",0.233765422395568,0.08,20,10.4,2.6,2.2,0.5,0.7,0.3,1.2,36.2,56.3,0,207,21,58,9,16,0,1,51,13,30,43,10,24,13,6
