Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,USU - BYU,,
USU,1,2:08,3 Laci Hawthorne > Offensive Rebound > Long > Run Offense,9,-,24
,,2:08,Misc Stat > Steal > Shaylee Gonzales,,,
,,2:08,Turnover > Any Type > Laci Hawthorne,,,
,,2:08,Misc Stat > Offensive Rebound > Laci Hawthorne,,,
BYU,1,2:03,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Make 2 Pts,9,-,26
,,2:03,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
USU,1,1:45,14 Manna Mensah > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,26
,,1:45,Shot > Manna Mensah > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,1:41,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,1:37,10 Tegan Graham > Transition > Left Wing > To Basket > Make 2 Pts,9,-,28
,,1:37,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,1:37,Misc Stat > Assist > Paisley Johnson,,,
,,1:36,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,1:36,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,1:36,Player Movement > Sub In > Home Player > Nani Falatea,,,
,,1:36,Player Movement > Sub In > Home Player > Lauren Gustin,,,
USU,1,1:30,14 Manna Mensah > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts,9,-,28
,,1:30,Shot > Manna Mensah > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:27,Misc Stat > Defensive Rebound > Sara Hamson,,,
BYU,1,1:23,3 Nani Falatea > Transition > Left Wing > Dribble Jumper > Long/3pt > Make 3 Pts,9,-,31
,,1:23,Shot > Nani Falatea > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,1:23,Misc Stat > Assist > Shaylee Gonzales,,,
USU,1,1:08,14 Manna Mensah > Hand Off > From Dribble > Left > To Basket > Miss 2 Pts,9,-,31
,,1:08,Shot > Manna Mensah > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:05,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,0:42,2 Shaylee Gonzales > Spot-Up > Drives Left > To Basket > Foul,9,-,33
,,0:42,Player Movement > Sub Out > Away Player > Laci Hawthorne,,,
,,0:42,Player Movement > Sub In > Away Player > Faith Brantley,,,
,,0:42,Player Movement > Sub In > Away Player > Meagan Mendazona,,,
,,0:42,Player Movement > Sub Out > Away Player > Manna Mensah,,,
,,0:42,Player Movement > Sub Out > Away Player > Shyla Latone,,,
,,0:42,Player Movement > Sub In > Away Player > Emmie Harris,,,
,,0:42,Personal Foul > Defensive - Any > Shyla Latone,,,
BYU,1,0:42,2 Shaylee Gonzales > Non Possession > Free Throw,9,-,32
,,0:42,Shot > Shaylee Gonzales > Free Throw > Made,,,
BYU,1,0:42,2 Shaylee Gonzales > Non Possession > Free Throw,9,-,33
,,0:42,Shot > Shaylee Gonzales > Free Throw > Made,,,
USU,1,0:30,0 Faith Brantley > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,11,-,33
,,,Ball Delivered,,,
,,,10 Emmie Harris > Spot-Up > Drives Right > To Basket > Foul,,,
,,0:30,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,0:30,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
,,0:30,Player Movement > Sub In > Home Player > Tegan Graham,,,
USU,1,0:30,10 Emmie Harris > Non Possession > Free Throw,10,-,33
,,0:30,Shot > Emmie Harris > Free Throw > Made,,,
USU,1,0:30,10 Emmie Harris > Non Possession > Free Throw,11,-,33
,,0:30,Shot > Emmie Harris > Free Throw > Made,,,
BYU,1,0:04,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Split > Defense Commits,11,-,36
,,,Ball Delivered,,,
,,,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,,,
,,0:04,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,0:04,Misc Stat > Assist > Tegan Graham,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,USU - BYU,,
USU,2,9:50,10 Emmie Harris > ISO > Top > Drives Right > To Basket > Miss 2 Pts,11,-,36
,,9:50,Shot > Emmie Harris > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,10:00,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,10:00,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,9:48,Player Movement > Sub In > Away Player > Laci Hawthorne,,,
,,9:48,Misc Stat > Team Offensive Rebound > Away,,,
,,9:48,Player Movement > Sub Out > Away Player > Taylor Franson,,,
USU,2,9:32,3 Laci Hawthorne > Cut > Basket > Miss 2 Pts,11,-,36
,,9:32,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Miss 2 Pts,,,
USU,2,9:28,3 Laci Hawthorne > Offensive Rebound > Long > Run Offense,11,-,36
,,9:28,Misc Stat > Offensive Rebound > Laci Hawthorne,,,
USU,2,9:25,15 Olivia Wikstrom > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,11,-,36
,,9:25,Shot > Olivia Wikstrom > Any Type > 3 Point Attempt > Miss 3 Pts,,,
