Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
,,2:05,Shot > Yemiyah Morris > Free Throw > Missed,,,
,,2:04,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,1,1:46,5 Maria Albiero > Spot-Up > Drives Left > Turnover,9,-,17
,,1:46,Turnover > Any Type > Maria Albiero,,,
UWV,1,1:24,21 Ariana Gray > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts,9,-,17
,,1:24,Shot > Ariana Gray > Any Type > 2 Point Attempt > Miss 2 Pts,,,
UWV,1,1:16,3 Kirsten Deans > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,9,-,19
,,1:16,Shot > Kirsten Deans > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,1:02,5 Maria Albiero > Cut > Basket > Make 2 Pts,11,-,19
,,1:02,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,1:02,Misc Stat > Assist > Tegan Graham,,,
UWV,1,0:46,3 Kirsten Deans > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,11,-,21
,,,Ball Delivered,,,
,,,21 Ariana Gray > P&R Roll Man > Rolls to Basket > Make 2 Pts Foul > Turnover,,,
,,0:46,Shot > Ariana Gray > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,0:46,Personal Foul > Defensive - Any > Lauren Gustin,,,
UWV,1,0:14,24 Savannah Samuel > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,11,-,21
,,0:14,Shot > Savannah Samuel > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,0:06,13 Paisley Johnson > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,11,-,21
,,0:06,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:03,Misc Stat > Defensive Rebound > Kirsten Deans,,,
UWV,1,0:02,3 Kirsten Deans > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,11,-,21
,,0:02,Shot > Kirsten Deans > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:02,Misc Stat > Team Defensive Rebound > Away,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
UWV,2,9:59,20 Yemiyah Morris > No Play Type > Turnover,11,-,21
,,9:59,Player Movement > Sub In > Home Player > Jasmine Carson,,,
,,9:59,Player Movement > Sub Out > Home Player > Ariana Gray,,,
,,9:59,Player Movement > Sub In > Home Player > Madisen Smith,,,
,,9:59,Player Movement > Sub Out > Home Player > Janaiya Quinerly,,,
,,9:59,Player Movement > Sub Out > Home Player > Kirsten Deans,,,
,,9:59,Player Movement > Sub In > Home Player > Esmery Martinez,,,
,,9:35,Personal Foul > Offensive Foul - Player Control > Yemiyah Morris,,,
,,9:35,Turnover > Any Type > Yemiyah Morris,,,
BYU,2,9:35,10 Tegan Graham > No Play Type > Turnover,11,-,21
,,9:35,Player Movement > Sub In > Home Player > Blessing Ejiofor,,,
,,9:35,Player Movement > Sub Out > Home Player > Yemiyah Morris,,,
,,9:21,Misc Stat > Steal > Madisen Smith,,,
,,9:21,Turnover > Any Type > Tegan Graham,,,
UWV,2,9:11,12 Esmery Martinez > No Play Type > Turnover,11,-,21
,,9:11,Misc Stat > Steal > Lauren Gustin,,,
,,9:11,Turnover > Any Type > Esmery Martinez,,,
BYU,2,9:03,10 Tegan Graham > Transition > First Middle > Dribble Jumper > Long/3pt > Miss 3 Pts,11,-,21
,,9:03,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:02,Player Movement > Sub Out > Away Player > Maria Albiero,,,
,,9:02,Player Movement > Sub In > Away Player > Shaylee Gonzales,,,
,,9:02,Misc Stat > Team Defensive Rebound > Home,,,
UWV,2,8:37,12 Esmery Martinez > No Play Type > Dribble Jumper > Short to < 17' > Make 2 Pts,11,-,23
,,8:37,Shot > Esmery Martinez > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,2,8:22,12 Lauren Gustin > Non Possession > Non Shooting Foul,11,-,23
,,8:22,Player Movement > Sub In > Home Player > Jayla Hemingway,,,
,,8:22,Player Movement > Sub In > Home Player > Kirsten Deans,,,
,,8:22,Personal Foul > Defensive - Any > Blessing Ejiofor,,,
,,8:22,Player Movement > Sub Out > Home Player > Jasmine Carson,,,
,,8:22,Player Movement > Sub Out > Home Player > Savannah Samuel,,,
BYU,2,8:15,13 Paisley Johnson > P&R Ball Handler > High P&R > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,13,-,23
,,8:15,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
