Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
,,8:00,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,2,7:58,5 Maria Albiero > Transition > Ballhandler > Turnover,15,-,24
,,7:58,Misc Stat > Steal > Dominique Leonidas,,,
,,7:58,Turnover > Any Type > Maria Albiero,,,
BSU,2,7:31,22 Trista Hull > Post-Up > Flash Middle > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,15,-,24
,,7:31,Shot > Trista Hull > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:26,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,7:16,13 Paisley Johnson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,15,-,27
,,,Ball Delivered,,,
,,,3 Nani Falatea > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,7:16,Shot > Nani Falatea > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,7:16,Misc Stat > Assist > Maria Albiero,,,
BSU,2,6:54,15 Dominique Leonidas > No Play Type > Turnover,15,-,27
,,6:54,Turnover > Any Type > Dominique Leonidas,,,
,,6:54,Player Movement > Sub Out > Away Player > Elodie Lalotte,,,
BYU,2,6:54,10 Tegan Graham > Spot-Up > Drives Right > To Basket > Foul,15,-,27
,,6:54,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,6:54,Player Movement > Sub Out > Home Player > Nani Falatea,,,
,,6:54,Player Movement > Sub In > Away Player > Rachel Bowers,,,
,,6:40,Personal Foul > Defensive - Any > Rachel Bowers,,,
BYU,2,6:39,10 Tegan Graham > Non Possession > Free Throw,15,-,28
,,6:39,Shot > Tegan Graham > Free Throw > Made,,,
BYU,2,6:39,10 Tegan Graham > Non Possession > Free Throw,15,-,29
,,6:39,Shot > Tegan Graham > Free Throw > Made,,,
BSU,2,6:23,15 Dominique Leonidas > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Turnover,15,-,29
,,6:23,Turnover > Any Type > Dominique Leonidas,,,
BYU,2,6:05,13 Paisley Johnson > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits,15,-,29
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Cut > Flash > Miss 2 Pts,,,
,,6:05,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:01,Misc Stat > Defensive Rebound > Trista Hull,,,
BSU,2,5:48,15 Dominique Leonidas > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits,15,-,29
,,,Ball Delivered,,,
,,,22 Trista Hull > P&R Roll Man > Rolls to Basket > Miss 2 Pts,,,
,,5:48,Shot > Trista Hull > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:48,Misc Stat > Team Offensive Rebound > Away,,,
BSU,2,5:43,22 Trista Hull > Non Possession > Non Shooting Foul,15,-,29
,,5:43,Personal Foul > Defensive - Any > Lauren Gustin,,,
BSU,2,5:23,12 Mary-Kay Naro > Cut > Basket > Miss 2 Pts,15,-,29
,,5:23,Shot > Mary-Kay Naro > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BSU,2,5:20,25 Rachel Bowers > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,17,-,29
,,5:20,Shot > Rachel Bowers > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:20,Misc Stat > Offensive Rebound > Rachel Bowers,,,
,,5:20,Personal Foul > Defensive - Any > Maria Albiero,,,
BSU,2,5:06,22 Trista Hull > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts,19,-,29
,,5:06,Shot > Trista Hull > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:20,Player Movement > Sub In > Home Player > Arielle Mackeywilliams,,,
